Sell_Price,Sell_Count,JS_Price,JS_Count,CR,UR,LC_index,CA_index,TC_index,SDT_index,IR,Crime_Rates,Total_Pop,Univ_Counts,Park_Counts,School_Counts,Subway_Counts
61532.87,67,33758.33,240,54.86,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,366312,3.0,2,42,11
29133.84,145,21353.28,460,73.29,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,422946,3.0,4,54,7
25284.32,66,16455.04,119,65.08,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,239085,0.0,4,33,1
25574.14,390,16519.62,767,64.6,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,594568,7.0,2,93,13
24316.16,164,16582.78,270,68.2,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,359554,1.0,6,46,3
35642.43,98,22528.54,344,63.21,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,357595,5.0,4,47,6
46663.05,213,28126.33,548,60.28,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,397899,3.0,7,44,12
64541.31,172,26361.43,555,40.84,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,380669,3.0,5,45,16
33505.09,114,23820.81,310,71.1,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,308639,9.0,4,40,5
82155.37,199,47355.51,745,57.64,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,427540,3.0,6,50,12
51565.26,150,27249.76,400,52.85,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,295034,2.0,5,41,14
35019.05,170,22790.67,470,65.08,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,475852,7.0,3,60,9
63208.13,342,37913.92,1207,59.98,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,669058,1.0,7,89,28
44717.91,179,30595.85,611,68.42,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,492793,0.0,5,64,5
40015.13,146,26428.43,460,66.05,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,387175,0.0,5,44,11
65318.21,77,36526.81,235,55.92,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,235931,2.0,2,34,10
35154.33,168,21846.21,304,62.14,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,489536,1.0,7,66,13
50135.05,38,35606.1,82,71.02,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,161487,6.0,12,36,15
42556.19,31,30115.89,129,70.77,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,129204,2.0,4,31,23
27406.22,99,19121.99,191,69.77,2.9,75.3,82.1,79.4,109.2525068,2.75,1.5488460135849778,415245,1.0,6,48,8
88417.66,323,40835.05,1095,46.18,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,553927,1.0,7,77,21
38478.2,260,22929.58,721,59.59,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,479183,0.0,7,60,14
30247.25,40,18610.11,150,61.53,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,334980,1.0,4,34,3
32594.89,174,21224.83,602,65.12,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,561544,2.0,9,80,9
29623.36,88,22227.61,326,75.03,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,512922,1.0,2,55,4
48118.75,64,32584.07,295,67.72,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,364963,3.0,2,42,11
29651.71,117,20852.88,476,70.33,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,421837,3.0,4,54,7
24758.47,59,16789.71,136,67.81,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,237917,0.0,4,33,1
25459.13,355,16338.86,887,64.18,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,587991,7.0,2,93,13
26363.87,181,16638.67,375,63.11,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,356181,1.0,6,46,3
31405.41,136,22912.5,328,72.96,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,357193,5.0,4,47,6
46332.38,144,29746.45,568,64.2,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,402763,3.0,7,44,12
79257.86,150,29172.68,544,36.81,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,376908,3.0,5,45,16
33725.27,83,23183.66,259,68.74,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,308466,9.0,4,40,5
92108.89,179,47657.89,719,51.74,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,431841,3.0,6,50,12
48766.84,129,28848.94,434,59.16,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,294446,2.0,5,41,14
32380.0,192,23739.33,504,73.31,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,471766,7.0,3,60,9
62381.02,266,36994.85,1113,59.3,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,662392,1.0,7,89,28
43398.1,163,28474.28,613,65.61,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,489072,0.0,5,64,5
43892.61,125,26268.23,447,59.85,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,381707,0.0,5,44,11
58641.06,51,34725.54,231,59.22,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,232675,2.0,2,34,10
35110.76,135,20574.65,493,58.6,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,494712,1.0,7,66,13
56796.38,26,32040.0,80,56.41,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,157433,6.0,12,36,15
48983.03,39,29846.46,127,60.93,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,127872,2.0,4,31,23
27894.3,93,18746.94,246,67.21,3.4,75.4,82.3,79.7,107.7484047,2.75,1.4804753015966128,412013,1.0,6,48,8
85855.06,411,40935.68,1141,47.68,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,553927,1.0,7,77,21
41924.04,322,22057.88,776,52.61,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,479183,0.0,7,60,14
29493.84,86,17923.43,171,60.77,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,334980,1.0,4,34,3
31209.36,218,21186.24,604,67.88,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,561544,2.0,9,80,9
30718.08,130,22412.31,350,72.96,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,512922,1.0,2,55,4
50915.82,79,32651.03,292,64.13,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,364963,3.0,2,42,11
29896.74,196,20725.76,422,69.32,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,421837,3.0,4,54,7
26181.23,81,17304.0,125,66.09,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,237917,0.0,4,33,1
25853.97,431,16270.57,893,62.93,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,587991,7.0,2,93,13
26207.17,233,17082.47,365,65.18,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,356181,1.0,6,46,3
32114.86,144,22388.35,336,69.71,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,357193,5.0,4,47,6
49426.77,179,29314.7,498,59.31,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,402763,3.0,7,44,12
65848.31,197,29106.49,480,44.2,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,376908,3.0,5,45,16
37040.42,103,23080.82,237,62.31,3.9,75.7,82.4,79.9,110.3919781,2.75,1.4804753015966128,308466,9.0,4,40,5
