학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008305,신남중학교,중학교,1984-03-01,공립,본교,운영,서울특별시 양천구 신월동 610-3,서울특별시 양천구 중앙로29길 109 (신월동.신남중학교),7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2022-10-06,37.52044085,126.8478926,2023-03-22
B000008452,강북중학교,중학교,1981-03-09,공립,본교,운영,서울특별시 강북구 수유동 694,서울특별시 강북구 한천로150길 67 (수유동. 강북중학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.64488556,127.0260104,2023-03-22
B000008259,가원중학교,중학교,1989-03-01,공립,본교,운영,서울특별시 송파구 가락동 106-3,서울특별시 송파구 중대로10길 40-18 (가락동.가원중학교),7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2022-10-06,37.49078127,127.1228736,2023-03-22
B000008419,행당중학교,중학교,1968-10-02,공립,본교,운영,서울특별시 성동구 행당동 66-3,서울특별시 성동구 왕십리로 189 (행당동.행당중학교),7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2022-10-06,37.55425983,127.0423679,2023-03-22
B000008460,신일중학교,중학교,1967-03-01,사립,본교,운영,서울특별시 강북구 미아동 193-1,서울특별시 강북구 솔매로49길 20 (미아동.신일중고등학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.62801769,127.0284273,2023-03-22
B000008161,경인중학교,중학교,1970-03-03,공립,본교,운영,서울특별시 구로구 개봉동 143-4,서울특별시 구로구 경인로 301 . 경인중학교  (개봉동. 경인중학교),7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2022-10-06,37.49799611,126.8544858,2023-03-22
B000008445,홍익대학교사범대학부속중학교,중학교,1954-04-12,사립,본교,운영,서울특별시 성북구 성북동 151,서울특별시 성북구 성북로14가길 23 . 홍익대학교사범대학부속중학교 (성북동.홍익대학교부속중고등학교),7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2022-10-06,37.59382476,127.0027003,2023-03-22
B000008149,신수중학교,중학교,1987-03-01,공립,본교,운영,서울특별시 마포구 신수동 371-1,서울특별시 마포구 신수로 49 . 신수중학교 (신수동),7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2022-10-06,37.5461194,126.9336333,2023-03-22
B000008364,언주중학교,중학교,1981-03-05,공립,본교,운영,서울특별시 강남구 삼성동 28,서울특별시 강남구 선릉로116길 57 . 언주중학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2022-10-06,37.51440587,127.0469009,2023-03-22
B000008406,남강중학교,중학교,1971-01-16,사립,본교,운영,서울특별시 관악구 신림동 627-1,서울특별시 관악구 난곡로34길 80 (신림동.남강중고등학교),7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2022-10-06,37.47141545,126.9246992,2023-03-22
