Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ
17,55000,59.99,427809,5.7,103.8,101.3,101.4,131.173063,166.4,84933.33,0.547777763,0.5,성북구,아파트,202101,474.8231498,109.5512488,779.1422457
0,20000,59.97,308639,2.8,75,81.7,79.2,116.9553327,72.8,57498.57,1.167962074,2.75,서대문구,아파트,201211,936.4967213,190.8621774,1392.915681
4,11218,59.83,461499,4,82.9,88.1,85.7,120.9302326,79.4,49672.73,1.131828689,1.75,강동구,아파트,201503,747.4289031,293.062666,5348.572633
44,54000,82.45,657101,2.7,109.8,110.3,113.7,82.88235294,152.8,187200,0.919011235,3.5,송파구,아파트,202305,225.1329818,322.6568519,2508.127694
10,26000,83.54,412023,4.5,79.2,85.6,82.7,121.038496,75.7,36783.33,1.264256243,2.5,중랑구,아파트,201402,1298.478881,208.6903303,1258.710381
10,31000,59.98,580630,3.7,82.2,87.5,85.1,115.2504472,77.9,51867.5,0.937566624,2,강서구,아파트,201501,547.1918384,394.5154624,694.1430847
26,30000,71.64,484474,3,81.4,86.6,84.9,115.7564906,77.5,43000,0.945980094,2,양천구,아파트,201411,254.7859928,351.6103809,1565.827546
27,17000,58.01,572940,4,82.9,88.1,85.7,120.9302326,79.4,23300,0.887204028,1.75,노원구,아파트,201503,966.7265753,221.6201801,1757.95
9,30000,84.94,231214,3.6,92.2,96.5,92.3,101.8534863,98,46750,1.28801417,1.25,금천구,아파트,201708,2561.097053,430.4531659,4865.400808
9,55000,83,553927,3.1,77.2,83.4,80.9,112.1448213,73.4,63200,1.13512373,2.5,강남구,아파트,201307,603.8134099,193.0083695,3176.447867
14,20000,84.93,580904,3.5,79.7,85.9,83.6,110.2506714,75.7,29500,0.906398023,2.5,노원구,아파트,201405,966.8937689,518.4920921,469.2335827
28,13000,45.27,394875,4.5,72.3,78.2,74.5,114.2539291,82,46656.67,1.171504855,2.75,영등포구,아파트,201102,451.3670907,82.90517067,2929.378399
12,41000,84.97,489798,4.3,99,98.5,99.8,112.9172714,140,60401.61,1.03196725,0.5,관악구,아파트,202006,2930.860724,403.171195,3803.098537
36,34000,53.88,435952,4.1,90.4,95.3,91,107.6345984,91.7,90075,1.057025018,1.25,서초구,아파트,201703,278.0456337,424.2217585,1576.939097
12,26000,59.75,387175,3.5,74.3,80.8,78,114.3807068,76.2,49600,1.214332461,3.25,영등포구,아파트,201204,360.6419594,258.5819365,3005.329253
33,40000,84.83,651722,4.1,90.4,95.3,91,107.6345984,91.7,79750,0.830784313,1.25,송파구,아파트,201703,980.8640669,341.9513856,1912.36409
6,16000,22.63,571614,4,106.3,103.7,103.2,110.2824041,173.8,17066.67,0.671992935,0.5,강서구,오피스텔,202105,1008.945845,299.2525482,1908.404114
23,65000,84.02,279374,2.7,109.8,110.3,113.7,82.88235294,152.8,156000,0.920270145,3.5,성동구,아파트,202305,866.4995449,236.6849018,1750.214064
37,43000,91.01,396843,3.8,106.9,103.8,103.4,117.2338885,177.7,56400,0.827708037,0.5,구로구,아파트,202106,514.8676683,365.9186168,2172.434067
20,21000,49.08,450971,4.1,98.6,101,99.5,109.6879536,134.6,47357.14,0.702519327,1.25,양천구,아파트,202002,935.8347888,257.9472794,1634.32896
12,22000,51.58,654241,3.1,85.2,90.7,87.4,122.7862254,84.4,20277.78,1.015461137,1.5,송파구,연립다세대,201510,311.8105112,333.0423868,3711.358071
50,52500,118.12,372443,4.3,104.9,102.3,102.2,119.4605358,169.3,198166.67,1.042383789,0.5,영등포구,아파트,202103,649.6560086,250.2356398,2506.370739
8,22000,29.96,655395,4,105.6,103.4,102.7,109.7212165,170.8,29921.05,0.709977183,0.5,송파구,오피스텔,202104,660.3834351,717.1015597,4499.849669
17,30000,142.98,306297,3.2,81.1,86.5,84.7,117.0098478,77.5,39000,1.307108062,2,서대문구,아파트,201410,454.6100946,257.57333,327.0783452
26,12500,48.96,352013,4.5,79.2,85.6,82.7,121.038496,75.7,19850,0.878238575,2.5,도봉구,아파트,201402,1415.069165,340.3584166,1449.181868
