Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,BA_CR,PPA_CR,IR,UR,LC_index,CA_index,TC_index,SDT_index
2012,7,성동구,11200,아파트,49557.82,81.25,596.21,180.35,67,27933.86,78.79,362.83,109.76,373,56.37,96.97,60.86,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성동구,11200,연립다세대,21807.0,57.52,389.85,117.93,15,11056.92,42.22,290.92,88.0,65,50.7,73.4,74.62,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성동구,11200,오피스텔,14995.0,30.8,492.63,149.02,10,9300.0,31.25,304.98,92.26,15,62.02,101.46,61.91,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성북구,11290,단독다가구,70615.0,141.44,456.66,138.14,20,7497.05,51.32,157.44,47.62,288,10.62,36.28,34.48,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성북구,11290,아파트,34681.85,79.0,440.94,133.38,112,22737.99,78.68,295.18,89.29,496,65.56,99.59,66.94,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성북구,11290,연립다세대,16652.04,53.73,322.94,97.69,49,10051.81,54.41,191.13,57.82,166,60.36,101.27,59.18,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,성북구,11290,오피스텔,11476.0,25.49,456.94,138.23,4,14000.0,57.3,241.26,72.98,2,121.99,224.79,52.8,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,송파구,11710,단독다가구,40833.33,135.05,579.38,175.26,3,8774.01,50.38,190.1,57.5,202,21.49,37.3,32.81,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,송파구,11710,아파트,63003.52,75.77,849.71,257.04,169,34009.23,81.85,425.43,128.69,888,53.98,108.02,50.07,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,송파구,11710,연립다세대,23995.14,53.31,460.12,139.19,72,13007.33,46.68,294.71,89.15,446,54.21,87.56,64.05,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,송파구,11710,오피스텔,20857.45,37.88,583.2,176.42,22,11850.0,35.79,321.33,97.2,10,56.81,94.48,55.1,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,양천구,11470,단독다가구,65026.67,232.59,282.84,85.56,3,6571.11,51.04,141.15,42.7,135,10.11,21.94,49.9,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,양천구,11470,아파트,49676.48,87.0,555.22,167.96,97,25422.66,78.59,320.93,97.08,442,51.18,90.33,57.8,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,양천구,11470,연립다세대,15287.0,50.61,313.85,94.94,95,10454.6,50.4,218.51,66.1,174,68.39,99.59,69.62,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,양천구,11470,오피스텔,17454.55,42.88,421.77,127.59,11,23228.95,69.17,323.25,97.78,38,133.08,161.31,76.64,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,영등포구,11560,단독다가구,42456.25,131.55,444.32,134.41,16,7356.52,44.13,183.97,55.65,161,17.33,33.55,41.4,3.0,3.1,74.5,81.5,78.5,102.461258
