"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2003","강서구","계",532662,29162.5,33137.5,35952.5,38005,49537,50650,53636.5,44726,50495,44767,31064,23227,17816.5,11898,8047,5376,3260,1412.5,403,78.5,10.5
"2003","구로구","계",413104,24306.5,26219,24723.5,25385.5,38394,41516.5,44408.5,35693.5,36112,32476,25479,19923,16001.5,9898.5,5720.5,3457.5,2158.5,904.5,270,47,9
"2003","금천구","계",261318.5,14289.5,17333,16784.5,16708.5,23450.5,25113,27347,24464,24495.5,20096,14939.5,12141,10096.5,6121,3667,2164.5,1349,547,174,29.5,8
"2003","영등포구","계",406040,23193.5,25088.5,23357,23675,35285,42109.5,46269,35723,34960,30614.5,23661,19555,16953,11336,6475,4021.5,2410.5,974,318,52.5,8.5
"2003","동작구","계",406703.5,21805.5,23579,22035,23185.5,37845,47288,46547,32855,32299.5,29028.5,23689.5,20875,18472.5,12022,6852.5,4185.5,2532,1156,364,75.5,11
"2003","관악구","계",522331.5,27546,28564,26450,28433,52774.5,69501,62846.5,42167,39845,35745,30311,26471,22591.5,13057,7366,4249,2712.5,1202,400,84.5,15
"2003","서초구","계",392006.5,17381.5,20974,25834,28211.5,37929,41854.5,39576.5,30293,33788.5,33664,26006.5,20643.5,14110.5,8330,5358.5,3854.5,2477.5,1202,430,74.5,12.5
"2003","강남구","계",532057.5,21922.5,27368,36906,42189.5,52800,56561.5,51493,39590.5,48298,48657,35167.5,26046,17062,10077.5,6853.5,5225.5,3513.5,1661,558,87.5,19.5
"2003","송파구","계",633275.5,32929.5,39928.5,44688.5,47024,59352.5,60798,63129.5,53395,59592,54748.5,38106.5,27498,19615,12572,8405,5686.5,3581,1611.5,508.5,91.5,14
"2003","강동구","계",479350,24332,30065,34729.5,36974,45662,42247,43772,40154.5,48127,43509.5,29620.5,20698.5,14587,9465,6452,4552.5,2781,1143.5,390,75,12.5
"2004","서울특별시","계",10173624,511612.5,604193.5,655309,645145.5,898899,983101,1059545,884473,894394.5,839501.5,608388,502635.5,417978.5,284942.5,171409.5,107648.5,65423,27893.5,9108.5,1709,313
"2004","종로구","계",175945.5,6824,9268,11475.5,10971.5,14667,15930,17041.5,14852.5,15727.5,14190.5,10326.5,9297.5,9123.5,6773,4142.5,2674.5,1663,692.5,239,54,11.5
